id,symbol,ticker,industry,rating,index,summary
55,EUROCASH,EUR,SUPPLY,CCC-,MWIG40,additional info about company
54,CCC,CCC,CONSUMER_GOODS,CCC,WIG20,additional info about company
53,KORBANK-NC,KOR,TECHNOLOGY,BBB,NCI,additional info about company
52,FAMUR,FMF,ELECTROMECH,AAA,MWIG40,additional info about company
51,VRG,VRG,CONSUMER_GOODS,AA+,MWIG40,additional info about company
50,ATCCARGO-NC,ATA,LOGISTICS,BBB-,NCI,additional info about company
49,PZU,PZU,FINANCE,B-,WIG20,additional info about company
48,SUNTECH-NC,SUN,TECHNOLOGY,AAA,NCI,additional info about company
47,AAT,AAT,CONSTRUCTION,AAA,WIG,additional info about company
46,PBGAMES,PBT,GAMING,B,NCI,additional info about company
45,GRUPAAZOTY,ATT,CHEMISTRY,BBB,MWIG40,additional info about company
44,ECCGAMES,ECC,GAMING,AAA,NCI,additional info about company
42,PLAY,PLY,TECHNOLOGY,B-,WIG20,additional info about company
41,ORANGEPL,OPL,TECHNOLOGY,B-,WIG20,additional info about company
40,LOTOS,LTS,OIL_AND_GAS,BBB,WIG20,additional info about company
39,CIGAMES,CIG,GAMING,BBB,SWIG80,additional info about company
38,MLSYSTEM,MLS,ENERGY,B+,SWIG80,additional info about company
37,PGNIG,PGN,OIL_AND_GAS,AA+,WIG20,additional info about company
36,APSENERGY-NC,APE,ELECTROMECH,AA-,NCI,additional info about company
35,PEPEES,PPS,CONSUMER_GOODS,BBB,WIG,additional info about company
34,DEKTRA-NC,DKR,SUPPLY,AAA,NCI,additional info about company
33,MAKOLAB-NC,MLB,TECHNOLOGY,AAA,NCI,additional info about company
32,AQUABB-NC,AQU,MUNICIPAL,BB+,NCI,additional info about company
31,ARTIFEX,ART,GAMING,B-,WIG,additional info about company
30,PKOBP,PKO,FINANCE,B,WIG20,additional info about company
29,PEKAO,PEO,FINANCE,B-,WIG20,additional info about company
28,GETIN,GTN,FINANCE,CCC+,MWIG40,additional info about company
27,SOFTBLUE-NC,SBE,TECHNOLOGY,AAA,NCI,additional info about company
26,RAINBOW,RBW,SERVICES,BB,SWIG80,additional info about company
25,AKCEPTFIN-NC,AFC,FINANCE,AAA,NCI,additional info about company
24,STARHEDGE,SHG,FINANCE,AAA,WIG,additional info about company
23,MBANK,MBK,FINANCE,B,WIG20,additional info about company
22,ULMA,ULM,CONSTRUCTION,AAA,WIG,additional info about company
21,PGE,PGE,ENERGY,B,WIG20,additional info about company
20,EFENERGII-NC,EFE,FINANCE,AAA,NCI,additional info about company
19,BIZTECH-NC,BTK,TECHNOLOGY,AAA,NCI,additional info about company
18,WODKAN-NC,WOD,MUNICIPAL,AAA,NCI,additional info about company
17,ELEMENTAL,EMT,MUNICIPAL,A-,SWIG80,additional info about company
16,4MASS,4MS,CHEMISTRY,AA-,NCI,additional info about company
15,NGGAMES,NGG,GAMING,CCC-,NCI,additional info about company
14,HEMP,HMP,SERVICES,AAA,NCI,additional info about company
13,ADVERTIGO-NC,AVE,SERVICES,AAA,NCI,additional info about company
12,BITEVIL-NC,BIT,TECHNOLOGY,AAA,NCI,additional info about company
11,GREMPCO-NC,GRM,FINANCE,AAA,NCI,additional info about company
10,SANTANDER,SAN,FINANCE,AAA,WIG,additional info about company
9,RONSON,RON,CONSTRUCTION,AAA,WIG,additional info about company
8,UHYECA-NC,ECA,SERVICES,A-,NCI,additional info about company
7,BORUTA-NC,BRU,CHEMISTRY,BB,NCI,additional info about company
6,VIVID,VVD,GAMING,CCC+,WIG,additional info about company
5,JWA-NC,JWA,TECHNOLOGY,D,NCI,additional info about company
4,KRVITAMIN,KVT,CONSUMER_GOODS,CCC+,WIG,additional info about company
3,EDINVEST,EDI,CONSTRUCTION,AAA,WIG,additional info about company
2,EXAMOBILE-NC,EXA,TECHNOLOGY,AAA,NCI,additional info about company
1,PRESENT24-NC,P24,SERVICES,AAA,NCI,additional info about company
0,TAURONPE,TPE,ENERGY,B,WIG20,additional info about company
