id,symbol,ticker,industry,rating,index
0,TAURONPE,TPE,ENERGY,B,WIG20
1,PRESENT24-NC,P24,SERVICES,AAA,NCI
2,EXAMOBILE-NC,EXA,TECHNOLOGY,AAA,NCI
3,EDINVEST,EDI,CONSTRUCTION,AAA,WIG
4,KRVITAMIN,KVT,CONSUMER_GOODS,CCC+,WIG
5,JWA-NC,JWA,TECHNOLOGY,D,NCI
6,VIVID,VVD,GAMING,CCC+,WIG
7,BORUTA-NC,BRU,CHEMISTRY,BB,NCI
8,UHYECA-NC,ECA,SERVICES,A-,NCI
9,RONSON,RON,CONSTRUCTION,AAA,WIG
10,SANTANDER,SAN,FINANCE,AAA,WIG
11,GREMPCO-NC,GRM,FINANCE,AAA,NCI
12,BITEVIL-NC,BIT,TECHNOLOGY,AAA,NCI
13,ADVERTIGO-NC,AVE,SERVICES,AAA,NCI
14,HEMP,HMP,SERVICES,AAA,NCI
15,NGGAMES,NGG,GAMING,CCC-,NCI
16,4MASS,4MS,CHEMISTRY,AA-,NCI
17,ELEMENTAL,EMT,MUNICIPAL,A-,SWIG80
18,WODKAN-NC,WOD,MUNICIPAL,AAA,NCI
19,BIZTECH-NC,BTK,TECHNOLOGY,AAA,NCI
20,EFENERGII-NC,EFE,FINANCE,AAA,NCI
21,PGE,PGE,ENERGY,B,WIG20
22,ULMA,ULM,CONSTRUCTION,AAA,WIG
23,MBANK,MBK,FINANCE,B,WIG20
24,STARHEDGE,SHG,FINANCE,AAA,WIG
25,AKCEPTFIN-NC,AFC,FINANCE,AAA,NCI
26,RAINBOW,RBW,SERVICES,BB,SWIG80
27,SOFTBLUE-NC,SBE,TECHNOLOGY,AAA,NCI
28,GETIN,GTN,FINANCE,CCC+,MWIG40
29,PEKAO,PEO,FINANCE,B-,WIG20
30,PKOBP,PKO,FINANCE,B,WIG20
31,ARTIFEX,ART,GAMING,B-,WIG
32,AQUABB-NC,AQU,MUNICIPAL,BB+,NCI
33,MAKOLAB-NC,MLB,TECHNOLOGY,AAA,NCI
34,DEKTRA-NC,DKR,SUPPLY,AAA,NCI
35,PEPEES,PPS,CONSUMER_GOODS,BBB,WIG
36,APSENERGY-NC,APE,ELECTROMECH,AA-,NCI
37,PGNIG,PGN,OIL_AND_GAS,AA+,WIG20
38,MLSYSTEM,MLS,ENERGY,B+,SWIG80
39,CIGAMES,CIG,GAMING,BBB,SWIG80
40,LOTOS,LTS,OIL_AND_GAS,BBB,WIG20
41,ORANGEPL,OPL,TECHNOLOGY,B-,WIG20
42,PLAY,PLY,TECHNOLOGY,B-,WIG20
44,ECCGAMES,ECC,GAMING,AAA,NCI
45,GRUPAAZOTY,ATT,CHEMISTRY,BBB,MWIG40
46,PBGAMES,PBT,GAMING,B,NCI
47,AAT,AAT,CONSTRUCTION,AAA,WIG
48,SUNTECH-NC,SUN,TECHNOLOGY,AAA,NCI
49,PZU,PZU,FINANCE,B-,WIG20
50,ATCCARGO-NC,ATA,LOGISTICS,BBB-,NCI
51,VRG,VRG,CONSUMER_GOODS,AA+,MWIG40
52,FAMUR,FMF,ELECTROMECH,AAA,MWIG40
53,KORBANK-NC,KOR,TECHNOLOGY,BBB,NCI
